__time,/fmu/in/actuator_motors/control[0],/fmu/in/actuator_motors/control[10],/fmu/in/actuator_motors/control[11],/fmu/in/actuator_motors/control[1],/fmu/in/actuator_motors/control[2],/fmu/in/actuator_motors/control[3],/fmu/in/actuator_motors/control[4],/fmu/in/actuator_motors/control[5],/fmu/in/actuator_motors/control[6],/fmu/in/actuator_motors/control[7],/fmu/in/actuator_motors/control[8],/fmu/in/actuator_motors/control[9],/fmu/in/actuator_motors/reversible_flags,/fmu/in/actuator_motors/timestamp,/fmu/in/actuator_motors/timestamp_sample,/fmu/out/actuator_outputs/noutputs,/fmu/out/actuator_outputs/output[0],/fmu/out/actuator_outputs/output[10],/fmu/out/actuator_outputs/output[11],/fmu/out/actuator_outputs/output[12],/fmu/out/actuator_outputs/output[13],/fmu/out/actuator_outputs/output[14],/fmu/out/actuator_outputs/output[15],/fmu/out/actuator_outputs/output[1],/fmu/out/actuator_outputs/output[2],/fmu/out/actuator_outputs/output[3],/fmu/out/actuator_outputs/output[4],/fmu/out/actuator_outputs/output[5],/fmu/out/actuator_outputs/output[6],/fmu/out/actuator_outputs/output[7],/fmu/out/actuator_outputs/output[8],/fmu/out/actuator_outputs/output[9],/fmu/out/actuator_outputs/timestamp,/fmu/out/sensor_combined/accel_calibration_count,/fmu/out/sensor_combined/accelerometer_clipping,/fmu/out/sensor_combined/accelerometer_integral_dt,/fmu/out/sensor_combined/accelerometer_m_s2[0],/fmu/out/sensor_combined/accelerometer_m_s2[1],/fmu/out/sensor_combined/accelerometer_m_s2[2],/fmu/out/sensor_combined/accelerometer_timestamp_relative,/fmu/out/sensor_combined/gyro_calibration_count,/fmu/out/sensor_combined/gyro_clipping,/fmu/out/sensor_combined/gyro_integral_dt,/fmu/out/sensor_combined/gyro_rad[0],/fmu/out/sensor_combined/gyro_rad[1],/fmu/out/sensor_combined/gyro_rad[2],/fmu/out/sensor_combined/timestamp,/fmu/out/vehicle_attitude/delta_q_reset[0],/fmu/out/vehicle_attitude/delta_q_reset[1],/fmu/out/vehicle_attitude/delta_q_reset[2],/fmu/out/vehicle_attitude/delta_q_reset[3],/fmu/out/vehicle_attitude/q[0],/fmu/out/vehicle_attitude/q[1],/fmu/out/vehicle_attitude/q[2],/fmu/out/vehicle_attitude/q[3],/fmu/out/vehicle_attitude/quat_reset_counter,/fmu/out/vehicle_attitude/timestamp,/fmu/out/vehicle_attitude/timestamp_sample,/fmu/out/vehicle_local_position/ax,/fmu/out/vehicle_local_position/ay,/fmu/out/vehicle_local_position/az,/fmu/out/vehicle_local_position/dead_reckoning,/fmu/out/vehicle_local_position/delta_heading,/fmu/out/vehicle_local_position/delta_vxy[0],/fmu/out/vehicle_local_position/delta_vxy[1],/fmu/out/vehicle_local_position/delta_vz,/fmu/out/vehicle_local_position/delta_xy[0],/fmu/out/vehicle_local_position/delta_xy[1],/fmu/out/vehicle_local_position/delta_z,/fmu/out/vehicle_local_position/dist_bottom,/fmu/out/vehicle_local_position/dist_bottom_sensor_bitfield,/fmu/out/vehicle_local_position/dist_bottom_valid,/fmu/out/vehicle_local_position/eph,/fmu/out/vehicle_local_position/epv,/fmu/out/vehicle_local_position/evh,/fmu/out/vehicle_local_position/evv,/fmu/out/vehicle_local_position/heading,/fmu/out/vehicle_local_position/heading_good_for_control,/fmu/out/vehicle_local_position/heading_reset_counter,/fmu/out/vehicle_local_position/heading_var,/fmu/out/vehicle_local_position/ref_timestamp,/fmu/out/vehicle_local_position/tilt_var,/fmu/out/vehicle_local_position/timestamp,/fmu/out/vehicle_local_position/timestamp_sample,/fmu/out/vehicle_local_position/unaided_heading,/fmu/out/vehicle_local_position/v_xy_valid,/fmu/out/vehicle_local_position/v_z_valid,/fmu/out/vehicle_local_position/vx,/fmu/out/vehicle_local_position/vxy_reset_counter,/fmu/out/vehicle_local_position/vy,/fmu/out/vehicle_local_position/vz,/fmu/out/vehicle_local_position/vz_reset_counter,/fmu/out/vehicle_local_position/x,/fmu/out/vehicle_local_position/xy_global,/fmu/out/vehicle_local_position/xy_reset_counter,/fmu/out/vehicle_local_position/xy_valid,/fmu/out/vehicle_local_position/y,/fmu/out/vehicle_local_position/z,/fmu/out/vehicle_local_position/z_deriv,/fmu/out/vehicle_local_position/z_global,/fmu/out/vehicle_local_position/z_reset_counter,/fmu/out/vehicle_local_position/z_valid,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],m_0,m_1,m_2,m_3,pz
1721040010.682975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,6008.000000000,0.090291448,-0.293441951,-9.843135834,0.000000000,1.000000000,0.000000000,5007.000000000,-0.001415096,-0.002066195,-0.008244187,1721040010717939.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.683726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,0.999973893,0.000211662,-0.007001047,-0.001795934,0.000000000,1721040010719206.000000000,1721040010717939.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.683771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078748479,-0.054456104,0.082024321,1.000000000,0.000000000,0.008333903,-0.006738368,0.002460076,0.000000000,0.000000000,0.000000000,0.060813963,0.000000000,1.000000000,0.014887595,0.305483043,0.044039551,0.059123911,-0.003595098,0.000000000,0.000000000,0.006826694,0.000000000,0.000157424,1721040010719499.000000000,1721040010717939.000000000,0.011812747,0.000000000,1.000000000,0.000137974,5.000000000,0.001207079,0.205251306,1.000000000,-0.014646674,0.000000000,5.000000000,0.000000000,-0.014077123,0.005941061,0.002077110,0.000000000,1.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.683866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001863563,-0.001216434,-0.001630686,0.000079005,0.000079665,0.006825448,1.000000000,-0.014646674,-0.014077123,0.005941061,0.000110819,0.000110821,0.093319885,0.999973893,0.000211662,-0.007001047,-0.001795934,0.000000000,8.000000000,1721040010719504.000000000,1721040010717939.000000000,0.000137974,0.001207079,0.205251306,1.000000000,0.000969712,0.000969770,0.003495637,,,,,-0.005941061
1721040010.695985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,6008.000000000,-0.053543586,-0.396921426,-9.867452621,0.000000000,1.000000000,0.000000000,6462.000000000,0.004840754,-0.001032472,-0.007836739,1721040010724401.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.696337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,0.999973893,0.000223809,-0.007002572,-0.001801065,0.000000000,1721040010724697.000000000,1721040010724401.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.696524,,,,,,,,,,,,,,,,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,551.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1721040010730335.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.180208412,-0.039240000,-0.039240000,-0.039240000,
1721040010.696654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011179926,0.026985176,0.067845121,1.000000000,0.000000000,0.008333903,-0.006738368,0.002460076,0.000000000,0.000000000,0.000000000,0.062583208,0.000000000,1.000000000,0.015245401,0.305726707,0.044542845,0.059246421,-0.003607208,0.000000000,0.000000000,0.006827730,0.000000000,0.000157483,1721040010730883.000000000,1721040010729408.000000000,0.011806037,0.000000000,1.000000000,-0.000206290,5.000000000,0.000383694,0.205145225,1.000000000,-0.014657072,0.000000000,5.000000000,0.000000000,-0.014066827,0.006108330,0.002367454,0.000000000,1.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.697066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000774237,0.000239723,0.000170032,0.000079039,0.000079695,0.006826479,1.000000000,-0.014657072,-0.014066827,0.006108330,0.000116210,0.000116212,0.093468823,0.999973893,0.000219799,-0.007002878,-0.001801931,0.000000000,8.000000000,1721040010730889.000000000,1721040010729408.000000000,-0.000206290,0.000383694,0.205145225,1.000000000,0.000992007,0.000992058,0.003510138,,,,,-0.006108330
1721040010.710462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,5007.000000000,0.042190958,-0.229462326,-9.807527542,0.000000000,1.000000000,0.000000000,4881.000000000,-0.002741181,0.000831001,-0.006541105,1721040010740844.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.710524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,6008.000000000,-0.011658601,-0.169824347,-9.845626831,0.000000000,1.000000000,0.000000000,6133.000000000,-0.002853248,-0.002156280,-0.005715454,1721040010746977.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.710534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,0.999973774,0.000233043,-0.007014348,-0.001807877,0.000000000,1721040010742247.000000000,1721040010740844.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.710556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030639151,0.010086097,0.116986662,1.000000000,0.000000000,0.008333903,-0.006738368,0.002460076,0.000000000,0.000000000,0.000000000,0.061392926,0.000000000,1.000000000,0.015662953,0.304843634,0.045165643,0.059370536,-0.003619292,0.000000000,0.000000000,0.006828919,0.000000000,0.000157560,1721040010742567.000000000,1721040010740844.000000000,0.011799409,0.000000000,1.000000000,-0.000687058,5.000000000,-0.000209148,0.205272198,1.000000000,-0.014672686,0.000000000,5.000000000,0.000000000,-0.014063354,0.006148749,0.002842696,0.000000000,1.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.710601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003189653,0.001680762,0.000072396,0.000079076,0.000079733,0.006827669,1.000000000,-0.014672686,-0.014063354,0.006148749,0.000122663,0.000122665,0.092929646,0.999973774,0.000233043,-0.007014348,-0.001807877,0.000000000,8.000000000,1721040010742575.000000000,1721040010740844.000000000,-0.000687058,-0.000209148,0.205272198,1.000000000,0.001019945,0.001019990,0.003524860,,,,,-0.006148749
1721040010.712741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,0.999973714,0.000220906,-0.007019207,-0.001806433,0.000000000,1721040010747675.000000000,1721040010746977.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.713465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104506657,0.197896913,0.074677289,1.000000000,0.000000000,0.008333903,-0.006738368,0.002460076,0.000000000,0.000000000,0.000000000,0.063120164,0.000000000,1.000000000,0.016044063,0.305094063,0.045683127,0.059498083,-0.003604261,0.000000000,0.000000000,0.006829978,0.000000000,0.000157621,1721040010753796.000000000,1721040010752986.000000000,0.011818445,0.000000000,1.000000000,-0.000201262,5.000000000,0.001384562,0.205478311,1.000000000,-0.014688144,0.000000000,5.000000000,0.000000000,-0.014054902,0.006571095,0.003463127,0.000000000,1.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.713501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007195838,0.003924657,0.002398899,0.000079106,0.000079764,0.006828730,1.000000000,-0.014688144,-0.014054902,0.006571095,0.000128705,0.000128707,0.093082383,0.999973893,0.000197272,-0.007008249,-0.001800614,0.000000000,8.000000000,1721040010753803.000000000,1721040010752986.000000000,-0.000201262,0.001384562,0.205478311,1.000000000,0.001043473,0.001043475,0.003540022,,,,,-0.006571095
1721040010.714016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,6008.000000000,0.151753455,-0.178771898,-9.841599464,0.000000000,1.000000000,0.000000000,5006.000000000,-0.003119610,-0.003844395,-0.005157551,1721040010757992.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.715373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,0.999973714,0.000186324,-0.007016589,-0.001798276,0.000000000,1721040010759281.000000000,1721040010757992.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.722982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005600682,-0.141341329,0.043970931,1.000000000,0.000000000,0.008333903,-0.006738368,0.002460076,0.000000000,0.000000000,0.000000000,0.065020204,0.000000000,1.000000000,0.016478879,0.305375576,0.046302311,0.059654821,-0.003590165,0.000000000,0.000000000,0.006831167,0.000000000,0.000157699,1721040010764990.000000000,1721040010764455.000000000,0.011837139,0.000000000,1.000000000,0.000671368,5.000000000,0.000878403,0.205549479,1.000000000,-0.014690757,0.000000000,5.000000000,0.000000000,-0.014034288,0.007024344,0.004061329,0.000000000,1.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.723309,0.180000007,0.000000000,0.000000000,-0.579999983,-0.439999998,-0.419999987,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1721040010723098.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.724754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000698671,0.001341190,0.001813828,0.000079144,0.000079802,0.006829919,1.000000000,-0.014690757,-0.014034288,0.007024344,0.000135776,0.000135778,0.093254238,0.999973834,0.000182055,-0.007013114,-0.001793672,0.000000000,8.000000000,1721040010764997.000000000,1721040010764455.000000000,0.000671368,0.000878403,0.205549479,1.000000000,0.001071930,0.001071974,0.003558697,,,,,-0.007024344
1721040010.724847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,5006.000000000,0.011079179,-0.257234454,-9.820160866,0.000000000,1.000000000,0.000000000,5006.000000000,0.000798278,0.000758246,-0.005509338,1721040010769461.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.729490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,0.999973834,0.000180989,-0.007009936,-0.001792130,0.000000000,1721040010770553.000000000,1721040010769461.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.740322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.110327743,-0.181885928,0.029737491,1.000000000,0.000000000,0.008333903,-0.006738368,0.002460076,0.000000000,0.000000000,0.000000000,0.067055352,0.000000000,1.000000000,0.016917869,0.305655599,0.046907272,0.059809346,-0.003606506,0.000000000,0.000000000,0.006822104,0.000000000,0.000157772,1721040010776632.000000000,1721040010775470.000000000,0.011826035,0.000000000,1.000000000,-0.000001237,5.000000000,-0.000322398,0.205567300,1.000000000,-0.014692981,0.000000000,5.000000000,0.000000000,-0.014025532,0.007323148,0.004707141,0.000000000,1.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.741030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004133441,-0.002439448,-0.002830925,0.000079184,0.000079839,0.006820853,1.000000000,-0.014692981,-0.014025532,0.007323148,0.000143106,0.000143108,0.093425348,0.999973774,0.000191525,-0.007018131,-0.001801775,0.000000000,8.000000000,1721040010776684.000000000,1721040010775470.000000000,-0.000001237,-0.000322398,0.205567300,1.000000000,0.001100116,0.001100176,0.003577158,,,,,-0.007323148
1721040010.741860,,,,,,,,,,,,,,,,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,551.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1721040010780340.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.180208412,-0.039240000,-0.039240000,-0.039240000,
1721040010.742135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,6009.000000000,-0.099362060,-0.421191335,-9.892714500,0.000000000,1.000000000,0.000000000,6009.000000000,0.004582185,-0.003289316,-0.009443110,1721040010775470.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.747604,,,,,,,,,,,,,,,,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,551.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1721040010780630.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.180208412,-0.039240000,-0.039240000,-0.039240000,
1721040010.747733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,0.999973774,0.000191525,-0.007018131,-0.001801775,0.000000000,1721040010776264.000000000,1721040010775470.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.752604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,6008.000000000,0.053253263,-0.050641030,-9.763573647,0.000000000,1.000000000,0.000000000,6008.000000000,-0.005390227,0.000233844,-0.004195932,1721040010787486.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721040010.752672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,0.999973714,0.000175662,-0.007027411,-0.001801920,0.000000000,1721040010788070.000000000,1721040010787486.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
